,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
159,Jackie Chan,Tiësto,828178,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
160,Yes Indeed,Lil Baby,827480,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
161,Thunderclouds (with Sia^ Diplo & Labrinth),Sia,827452,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
162,Always Remember Us This Way,Lady Gaga,826878,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
163,Praise The Lord (Da Shine),A$AP Rocky,826104,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
164,Love Lies (with Normani),Khalid,823592,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
165,We Will Rock You - Remastered,Queen,823348,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
166,This Feeling,The Chainsmokers,818614,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
167,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,813574,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
168,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,810617,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
169,BiPolar (feat. Quavo),Gucci Mane,806759,https://open.spotify.com/track/5Ta1sXtO9tXOaUacYm7tH8
170,Fine China,Future,805768,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
171,Toda - Remix,Alex Rose,798723,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
172,Say You Won't Let Go,James Arthur,792436,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
173,Topanga,Trippie Redd,789679,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
174,Merry Christmas Everyone - Remastered,Shakin' Stevens,786101,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB
175,Santa Claus Is Coming To Town,Michael Bublé,784572,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
176,ocean eyes,Billie Eilish,783957,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
177,These Days (feat. Jess Glynne^ Macklemore & Dan Caplen),Rudimental,776527,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
178,I'm a Mess,Bebe Rexha,774144,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
179,Congratulations,Post Malone,765867,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
180,Look At Me!,XXXTENTACION,762999,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
181,Ric Flair Drip (& Metro Boomin),Offset,762939,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
182,Ibiza,Ozuna,759816,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
183,HUMBLE.,Kendrick Lamar,759659,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
184,STOOPID,6ix9ine,757936,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
185,Closer,The Chainsmokers,756004,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
186,Lonesome Train,Stan Kenton,754483,https://open.spotify.com/track/46DwQbCUzWr4bT0Uu2lDK8
187,In My Blood,Shawn Mendes,747394,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
188,Call Out My Name,The Weeknd,741963,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
189,Baller los,MERO,740918,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9
